system_id,parent_org_id,canonical_name,division,level,state,state_abbr,normalized_name,aliases,verified,source
"miss-america-al-miss","miss-america","Miss Alabama","Miss","State","Alabama","AL","miss alabama","Miss Alabama|Miss Alabama Pageant|Miss Alabama Organization|Miss AL|Alabama Miss|Alabama MAO|MAO Alabama|Alabama Miss America","false","generated"
"miss-america-al-teen","miss-america","Miss Alabama's Teen","Teen","State","Alabama","AL","miss alabamas teen","Miss Alabama's Teen|Miss Alabama's Teen Pageant|Miss Alabama's Teen Organization|Miss AL's Teen|Miss Alabama Teen|Miss Alabamas Teen|Miss Alabama's Outstanding Teen|Alabama MAO|MAO Alabama|Alabama Miss America","false","generated"
"miss-america-ak-miss","miss-america","Miss Alaska","Miss","State","Alaska","AK","miss alaska","Miss Alaska|Miss Alaska Pageant|Miss Alaska Organization|Miss AK|Alaska Miss|Alaska MAO|MAO Alaska|Alaska Miss America","false","generated"
"miss-america-ak-teen","miss-america","Miss Alaska's Teen","Teen","State","Alaska","AK","miss alaskas teen","Miss Alaska's Teen|Miss Alaska's Teen Pageant|Miss Alaska's Teen Organization|Miss AK's Teen|Miss Alaska Teen|Miss Alaskas Teen|Miss Alaska's Outstanding Teen|Alaska MAO|MAO Alaska|Alaska Miss America","false","generated"
"miss-america-az-miss","miss-america","Miss Arizona","Miss","State","Arizona","AZ","miss arizona","Miss Arizona|Miss Arizona Pageant|Miss Arizona Organization|Miss AZ|Arizona Miss|Arizona MAO|MAO Arizona|Arizona Miss America","false","generated"
"miss-america-az-teen","miss-america","Miss Arizona's Teen","Teen","State","Arizona","AZ","miss arizonas teen","Miss Arizona's Teen|Miss Arizona's Teen Pageant|Miss Arizona's Teen Organization|Miss AZ's Teen|Miss Arizona Teen|Miss Arizonas Teen|Miss Arizona's Outstanding Teen|Arizona MAO|MAO Arizona|Arizona Miss America","false","generated"
"miss-america-ar-miss","miss-america","Miss Arkansas","Miss","State","Arkansas","AR","miss arkansas","Miss Arkansas|Miss Arkansas Pageant|Miss Arkansas Organization|Miss AR|Arkansas Miss|Arkansas MAO|MAO Arkansas|Arkansas Miss America","false","generated"
"miss-america-ar-teen","miss-america","Miss Arkansas's Teen","Teen","State","Arkansas","AR","miss arkansass teen","Miss Arkansas's Teen|Miss Arkansas's Teen Pageant|Miss Arkansas's Teen Organization|Miss AR's Teen|Miss Arkansas Teen|Miss Arkansass Teen|Miss Arkansas's Outstanding Teen|Arkansas MAO|MAO Arkansas|Arkansas Miss America","false","generated"
"miss-america-ca-miss","miss-america","Miss California","Miss","State","California","CA","miss california","Miss California|Miss California Pageant|Miss California Organization|Miss CA|California Miss|California MAO|MAO California|California Miss America","false","generated"
"miss-america-ca-teen","miss-america","Miss California's Teen","Teen","State","California","CA","miss californias teen","Miss California's Teen|Miss California's Teen Pageant|Miss California's Teen Organization|Miss CA's Teen|Miss California Teen|Miss Californias Teen|Miss California's Outstanding Teen|California MAO|MAO California|California Miss America","false","generated"
"miss-america-co-miss","miss-america","Miss Colorado","Miss","State","Colorado","CO","miss colorado","Miss Colorado|Miss Colorado Pageant|Miss Colorado Organization|Miss CO|Colorado Miss|Colorado MAO|MAO Colorado|Colorado Miss America","false","generated"
"miss-america-co-teen","miss-america","Miss Colorado's Teen","Teen","State","Colorado","CO","miss colorados teen","Miss Colorado's Teen|Miss Colorado's Teen Pageant|Miss Colorado's Teen Organization|Miss CO's Teen|Miss Colorado Teen|Miss Colorados Teen|Miss Colorado's Outstanding Teen|Colorado MAO|MAO Colorado|Colorado Miss America","false","generated"
"miss-america-ct-miss","miss-america","Miss Connecticut","Miss","State","Connecticut","CT","miss connecticut","Miss Connecticut|Miss Connecticut Pageant|Miss Connecticut Organization|Miss CT|Connecticut Miss|Connecticut MAO|MAO Connecticut|Connecticut Miss America","false","generated"
"miss-america-ct-teen","miss-america","Miss Connecticut's Teen","Teen","State","Connecticut","CT","miss connecticuts teen","Miss Connecticut's Teen|Miss Connecticut's Teen Pageant|Miss Connecticut's Teen Organization|Miss CT's Teen|Miss Connecticut Teen|Miss Connecticuts Teen|Miss Connecticut's Outstanding Teen|Connecticut MAO|MAO Connecticut|Connecticut Miss America","false","generated"
